Rank,Word,Percent,Cumulative
1,with,1.3390816131992818,1.3390816131992818
2,what,1.185589683572442,2.5246712967717237
3,all,0.8261913289562195,3.3508626257279435
4,from,0.7747714380873032,4.125634063815246
5,one,0.6775823376967226,4.8032164015119685
6,know,0.6608113250321653,5.464027726544134
7,like,0.556557004650408,6.020584731194542
8,just,0.5473464860042102,6.567931217198752
9,get,0.544276051621842,7.112207268820594
10,which,0.5390977033464988,7.651304972167093
11,will,0.5236057700371459,8.17491074220424
12,out,0.5217842205714947,8.696694962775734
13,about,0.52055847688377,9.217253439659503
14,come,0.4805020784938307,9.697755518153334
15,who,0.47425837724481,10.172013895398145
16,time,0.4539012616572826,10.625915157055427
17,when,0.45230284872406873,11.078218005779496
18,right,0.43539782569076596,11.513615831470261
19,now,0.434160021326419,11.94777585279668
20,been,0.42830469292304346,12.376080545719724
21,want,0.42341497295725544,12.799495518676979
22,well,0.41159466508663445,13.211090183763613
23,see,0.4100432561332906,13.621133439896903
24,how,0.40537948477414876,14.026512924671053
25,more,0.3816466586553716,14.408159583326425
26,think,0.35881579529828256,14.766975378624707
27,look,0.3553720711852254,15.122347449809933
28,some,0.34842185296232003,15.470769302772252
29,good,0.34320008324191875,15.813969386014172
30,got,0.30836299474773915,16.12233238076191
31,take,0.30435836698779,16.4266907477497
32,only,0.301302121607483,16.727992869357184
33,make,0.29589188073722816,17.02388475009441
34,where,0.29402398789703427,17.317908737991445
35,other,0.2939947113065984,17.611903449298044
36,let,0.290667855639818,17.90257130493786
37,say,0.2902064536145551,18.192777758552417
38,why,0.28506300759029335,18.47784076614271
39,yeah,0.2847482953209603,18.762589061463668
40,use,0.27815859987934227,19.040747661343012
41,back,0.27043266077788247,19.311180322120894
42,work,0.26862241103448625,19.57980273315538
43,into,0.2681915610752106,19.84799429423059
44,two,0.2681452695328059,20.116139563763394
45,man,0.2633601091440835,20.379499672907478
46,any,0.26055553856169245,20.64005521146917
47,need,0.25544993384894443,20.895505145318115
48,may,0.2549947590891467,21.150499904407262
49,way,0.2523710449077311,21.402870949314995
50,going,0.25090932293935003,21.653780272254345
51,very,0.24964848205276105,21.903428754307107
52,new,0.23667318406931134,22.140101938376418
53,yes,0.23655686536004902,22.37665880373647
54,over,0.23605247172345387,22.612711275459922
55,first,0.23517603843498194,22.847887313894905
56,even,0.23466655367772207,23.082553867572628
57,said,0.23353832151908407,23.316092189091712
58,people,0.228528942444168,23.54462113153588
59,tell,0.22249538784295705,23.76711651937884
60,because,0.2197097772483726,23.98682629662721
61,call,0.21910166896001235,24.20592796558722
62,life,0.21205113787812524,24.417979103465346
63,too,0.20720514389749628,24.625184247362842
64,down,0.20638986614079033,24.83157411350363
65,give,0.20562555164452218,25.037199665148155
66,such,0.20542249889896824,25.242622164047123
67,after,0.20470952782723817,25.44733169187436
68,thing,0.19902703612962291,25.64635872800398
69,much,0.19787730105481435,25.844236029058795
70,day,0.19769247391728292,26.041928502976077
71,also,0.19548928405275381,26.237417787028832
72,little,0.19221117542367672,26.429628962452508
73,really,0.1909196460147408,26.62054860846725
74,never,0.19073775495435574,26.811286363421605
75,must,0.18558236522735871,26.996868728648963
76,mean,0.18492789412550464,27.181796622774467
77,love,0.1838164356879105,27.365613058462376
78,something,0.1836426605023802,27.549255718964755
79,before,0.17551410688105507,27.72476982584581
80,made,0.17485063000791343,27.899620455853725
81,most,0.1716820119035911,28.071302467757317
82,gonna,0.169470636081921,28.24077310383924
83,talk,0.1665350364187397,28.407308140257978
84,hey,0.16501740660423603,28.572325546862213
85,great,0.1637283698035567,28.73605391666577
86,off,0.1618861712641387,28.89794008792991
87,year,0.1573573516998528,29.055297439629765
88,many,0.15708648447642903,29.212383924106195
89,still,0.15462326599085116,29.367007190097045
90,through,0.15419995487528687,29.521207144972333
91,place,0.15193875233649085,29.673145897308824
92,being,0.15078845129507515,29.8239343486039
93,help,0.15054859971767076,29.97448294832157
94,try,0.14979173803650944,30.124274686358078
95,find,0.14740921188953635,30.271683898247613
96,long,0.1467609263269602,30.41844482457457
97,same,0.14533498673267056,30.563779811307242
98,own,0.1389182377361479,30.70269804904339
99,ask,0.1383142171099854,30.841012266153378
100,please,0.1380477378977345,30.979060004051114
101,between,0.13537070755607147,31.114430711607184
102,again,0.13514096749941246,31.249571679106598
103,part,0.13214934074573154,31.38172101985233
104,world,0.13168685696211693,31.513407876814444
105,guy,0.129789316241647,31.643197193056093
106,put,0.12941818238920325,31.772615375445294
107,thought,0.12860362693290014,31.901219002378195
108,last,0.12852212045536562,32.02974112283356
109,hand,0.12765380940761226,32.157394932241175
110,three,0.12745441615812375,32.2848493483993
111,name,0.12696674237370528,32.411816090773
112,wait,0.12676861501877693,32.53858470579178
113,leave,0.1267297235485072,32.665314429340285
114,nothing,0.12483223482535728,32.79014666416564
115,happen,0.12393121396474582,32.914077878130385
116,house,0.12392330833983148,33.03800118647022
117,feel,0.1228094813137104,33.16081066778393
118,found,0.12258995793744329,33.28340062572137
119,home,0.12252894417281997,33.40592956989419
120,each,0.12215693848467472,33.52808650837886
121,sorry,0.12202881374993403,33.6501153221288
122,both,0.12137633704941786,33.77149165917822
123,old,0.1210837654065537,33.89257542458477
124,another,0.12041347154193198,34.0129888961267
125,sure,0.11974871925847827,34.13273761538518
126,away,0.1189669862797357,34.25170460166492
127,thank,0.11748369000664852,34.36918829167157
128,live,0.11698098907355702,34.48616928074512
129,always,0.11679700097877065,34.602966281723894
130,under,0.11651578316329879,34.719482064887195
131,every,0.11584801411802792,34.835330079005224
